id,name,num_assets,White_Paper,Webinar,Software_Download,Free_Offer,Live_Event,Case_Study
63,ESET WightForm) CPG,6,6,0,0,0,0,0
64,IBM WightForm) CPG,7,3,0,0,0,0,0
65,MessageLabs Wight CPG,0,0,0,0,0,0,0
66,IDology Whitepapers2012 CPG,0,0,0,0,0,0,0
67,Boxtone Wight CPG,7,7,0,0,0,0,0
68,newScale WhiteQ22012 CPG,0,0,0,0,0,0,0
69,MessageLabs/SC Whitepapers CPG,9,9,0,0,0,0,0
70,GlobalSCAPE Whitepaper50211 CPG,0,0,0,0,0,0,0
71,HP Whitepapers CPG,0,0,0,0,0,0,0
72,HP Whitepaper2013 CPG,0,0,0,0,0,0,0
73,Excel Whitepapers CPG,3,3,0,0,0,0,0
74,Cast Whitepaper CPG,0,0,0,0,0,0,0
75,DOI Whitepaper CPG,2,1,0,0,0,0,1
76,HP Whitepaper CPG,0,0,0,0,0,0,0
77,NexGen whitepaper CPG,5,0,0,0,0,0,0
78,Diskeeper Whitepaper CPG,0,0,0,0,0,0,0
79,GlobalSCAPE Whitepaper CPG,3,3,0,0,0,0,0
80,OnForce WhitePaper CPG,0,0,0,0,0,0,0
81,Aveksa Whitepaper CPG,3,3,0,0,0,0,0
82,IBM Whitepaper CPG,0,0,0,0,0,0,0
83,IBM Whitepaper CPG,4,4,0,0,0,0,0
84,Adaptive Whitepaper CPG,2,6,0,0,0,0,4
85,mindSHIFT Whitepaper CPG,7,7,0,0,0,0,0
86,mindSHIFT Whitepaper CPG,6,3,0,0,0,0,3
87,Avaya Whitepaper CPG,0,0,0,0,0,0,0
88,ARX Whitecampaign CPG,9,0,0,0,0,0,0
89,Direct White90711 CPG,0,0,0,0,0,0,0
90,Tideway White CPG,3,3,0,0,0,0,0
91,Bomgar White CPG,5,5,0,0,0,0,0
92,Stratus White CPG,10,1,0,0,0,0,9
93,HP White CPG,0,0,0,0,0,0,0
94,Actek WSSDE CPG,0,0,0,0,0,0,0
95,CA White CPG,4,1,0,0,0,0,3
96,Ounce White CPG,2,2,0,0,0,0,0
97,qaSignature White CPG,0,0,0,0,0,0,0
98,HP White CPG,0,0,0,0,0,0,0
99,Ultraseek White CPG,6,3,0,0,3,0,0
100,HP White CPG,3,3,0,0,0,0,0
101,Network white CPG,1,0,0,0,0,0,0
102,IBM white CPG,0,0,0,0,0,0,0
103,SEPATON White CPG,0,0,0,0,0,0,0
104,Sunbelt white CPG,1,0,0,0,0,0,0
105,Proofpoint White CPG,1,1,0,0,0,0,0
106,IBM White CPG,3,3,0,0,0,0,0
107,Sophos White CPG,0,0,0,0,0,0,0
108,Oce White CPG,0,0,0,0,0,0,0
109,LeftHand White CPG,6,2,0,0,0,0,5
110,Data White CPG,0,0,0,0,0,0,0
111,IBM WhichVoIP CPG,0,0,0,0,0,0,0
112,Dell White CPG,5,5,0,0,0,0,0
113,SAP Weigh-Tronix CPG,1,1,0,0,0,0,0
114,VeriSign WebTech CPG,0,0,0,0,0,0,0
115,GFI WhichVoIPQuote72011 CPG,6,1,0,0,0,0,5
116,BoxTone Webstore2013 CPG,8,8,0,0,0,0,0
117,IBM Website41310 CPG,0,0,0,0,0,0,0
118,Lone Website CPG,2,4,0,0,0,0,0
119,Dynamics WebSecurity2011 CPG,3,3,0,0,0,0,0
120,Wisdom WebLeads102709 CPG,5,5,0,0,0,0,0
121,CMC Websense2013 CPG,3,3,0,0,0,0,0
122,Hubspot -Webinars CPG,5,5,0,0,0,0,0
123,6th Webinar--Sept CPG,0,0,0,0,0,0,0
124,CrownPeak WebinarOct30 CPG,2,2,0,0,0,0,0
125,HubSpot Webinar--Oct CPG,1,1,0,0,0,0,0
126,AppAssure Webinar--Nov CPG,0,0,0,0,0,0,0
127,BMC Webinar--Mar CPG,2,2,0,0,0,0,0
128,Burton Webinar--Mar CPG,0,0,0,0,0,0,0
129,BlueArc Webinar--May CPG,0,0,0,0,0,0,0
130,Oracle Webinar--Jul CPG,5,4,1,0,0,0,0
131,Quantum Webinar--Jun CPG,2,2,0,0,0,0,0
132,"IBM WebinarJAN23,2013 CPG",3,0,0,0,0,0,0
133,AbleSys Webinar--Jan CPG,0,0,0,0,0,0,0
134,RCG Webinar--Jan CPG,0,0,0,0,0,0,0
135,SAP WebinarforSAP(newsletter) CPG,0,0,0,0,0,0,0
136,Stratus Webinar--Feb(TEST) CPG,0,0,0,0,0,0,0
137,IBM Webinar--Feb CPG,9,5,0,0,0,0,0
138,MARI Webinar--Feb CPG,0,0,0,0,0,0,0
139,qaSignature Webinar--Feb CPG,0,0,0,0,0,0,0
140,SkillSoft WebinarEU42210 CPG,3,0,0,0,0,0,0
141,Ounce Webinar--Feb CPG,0,0,0,0,0,0,0
142,HP Webinar--Dec CPG,3,3,0,0,0,0,0
143,HyperOffice Webinar--Aug CPG,0,0,0,0,0,0,0
144,Webroot WebinarDigitalAssetManagement CPG,0,0,0,0,0,0,0
145,Vision Webinar--Apr CPG,0,0,0,0,0,0,0
146,Landslide Webinar2013 CPG,9,0,0,0,0,0,0
147,Landslide Webinar_Marketing CPG,0,0,0,0,0,0,0
148,Citrix Webinar41972 CPG,2,2,0,0,0,0,0
149,Options Webinar42210 CPG,0,0,0,0,0,0,0
150,newScale Webinar/31 CPG,2,2,0,0,0,0,0
151,IBM -webinar CPG,0,0,0,0,0,0,0
152,First Webinar CPG,0,0,0,0,0,0,0
153,SiteSpect -Webinar CPG,16,14,0,0,0,0,2
154,OnForce Webinar CPG,0,0,0,0,0,0,0
155,Oco Webinar CPG,0,0,0,0,0,0,0
156,Alaron Webinar CPG,0,0,0,0,0,0,0
157,Sophos Webinar CPG,0,0,0,0,0,0,0
158,BitGravity Webinar CPG,9,3,3,0,3,0,0
159,CA Webinar CPG,4,0,0,0,0,0,0
160,Recovery Webinar CPG,0,0,0,0,0,0,0
161,Huntington Webinar CPG,0,0,0,0,0,0,0
162,HP Webinar CPG,0,0,0,0,0,0,0
163,LeapFrog Webinar CPG,7,7,0,0,0,0,0
164,Sepaton Webinar CPG,0,0,0,0,0,0,0
165,Webroot Webinar CPG,0,0,0,0,0,0,0
166,CA Webinar CPG,5,5,0,0,0,0,0
167,UTC Webinar CPG,0,0,0,0,0,0,0
168,Tideway Webinar CPG,0,0,0,0,0,0,0
169,HP Webinar CPG,0,0,0,0,0,0,0
170,Riverbed Webinar CPG,0,0,0,0,0,0,0
171,Motorola Webinar CPG,0,0,0,0,0,0,0
172,Tealeaf Webinar CPG,7,0,0,0,0,0,0
173,OnForce Webinar CPG,0,0,0,0,0,0,0
174,IBM Webinar CPG,0,0,0,0,0,0,0
175,Process webinar CPG,0,0,0,0,0,0,0
176,NEI Webinar CPG,0,0,0,0,0,0,0
177,InfoBuilders Webinar CPG,0,0,0,0,0,0,0
178,Data Webinar CPG,5,5,0,0,0,0,0
179,AcquireWeb Webinar CPG,0,0,0,0,0,0,0
180,Net webinar CPG,5,5,0,0,0,0,0
181,Raritan WebExCampaignTechQ3 CPG,0,0,0,0,0,0,0
182,MX WebExTrial21611 CPG,0,0,0,0,0,0,0
183,Stratavia WebExCampaignQ3 CPG,0,0,0,0,0,0,0
184,IEX WebEx21811 CPG,0,0,0,0,0,0,0
185,Ounce Webcasts CPG,0,0,0,0,0,0,0
186,CA -Webcast CPG,0,0,0,0,0,0,0
187,HP Webcast41781 CPG,0,0,0,0,0,0,0
188,IBM Webcast CPG,0,0,0,0,0,0,0
189,Epicor Webcast CPG,0,0,0,0,0,0,0
190,HPSM Webcast CPG,0,0,0,0,0,0,0
191,MessageLabs Webcasts CPG,1,1,0,0,0,0,0
192,CA Webcast CPG,0,0,0,0,0,0,0
193,Gryphon Webcast CPG,0,0,0,0,0,0,0
194,BlueHornet Webcast CPG,0,0,0,0,0,0,0
195,Clearswift Webcast CPG,0,0,0,0,0,0,0
196,Yorba Webcast CPG,0,0,0,0,0,0,0
197,Tideway Webcast CPG,2,0,0,0,0,0,0
198,HP Webcast CPG,0,0,0,0,0,0,0
199,IBM Webcast CPG,0,0,0,0,0,0,0
200,IBM WebAlliance CPG,4,4,0,0,0,0,0
201,AdReady Webcast CPG,0,0,0,0,0,0,0
202,Compendium Web42110 CPG,5,0,0,0,0,0,0
203,Ounce Web40810 CPG,0,0,0,0,0,0,0
204,Qualys Web40810 CPG,2,1,0,0,0,0,0
205,HP Web CPG,0,0,0,0,0,0,0
206,Landslide Water CPG,0,0,0,0,0,0,0
207,WatchGuard Web CPG,5,4,0,0,0,0,1
208,Green WaysGetMorefromYourITBudgets CPG,0,0,0,0,0,0,0
209,VMWare web CPG,3,3,0,0,0,0,0
210,Landslide Watchfire-Focus CPG,1,4,0,0,0,0,0
211,PowerTech Watchfire-Focus CPG,4,1,0,0,0,0,0
212,Verisign Watchfire CPG,0,0,0,0,0,0,0
213,HP WarnerNYC CPG,0,0,0,0,0,0,0
214,Sunbelt WarnerNortheast CPG,0,0,0,0,0,0,0
215,Oneupweb Warehousing CPG,4,3,0,0,0,0,1
216,Marin Warehouse CPG,1,1,0,0,0,0,0
217,Platinum WA82608 CPG,0,0,0,0,0,0,0
218,BitGravity WA71408 CPG,0,0,0,0,0,0,0
219,Debix WA51208 CPG,4,4,0,0,0,0,0
220,Proofpoint WarnerMidwest CPG,3,3,0,0,0,0,0
221,IBM WAN CPG,0,0,0,0,0,0,0
222,Burton WALeads100108 CPG,0,0,0,0,0,0,0
223,Sophos WALeads20909 CPG,4,0,0,0,0,0,0
224,Bronto Ware CPG,0,0,0,0,0,0,0
225,Javelin-Debix VUManagement CPG,0,0,0,0,0,0,0
226,DEI w/ CPG,0,0,0,0,0,0,0
227,Desktop w/ CPG,0,0,0,0,0,0,0
228,Data WA101408 CPG,4,4,0,0,0,0,0
229,Microsoft VulnerabilityReport CPG,0,0,0,0,0,0,0
230,Clearswift VU CPG,6,4,2,0,0,0,0
231,IBM VSTS22509 CPG,7,6,0,0,0,0,0
232,VeriSign vSphere CPG,0,0,0,0,0,0,0
233,Tripwire VSML2012IFWDec-Mar12 CPG,2,2,0,0,0,0,0
234,Bazaarvoice vs.EyeTrackingResearch CPG,0,0,0,0,0,0,0
235,BlueCat vs. CPG,0,0,0,0,0,0,0
236,CBLearning VoIPOct-Dec'11 CPG,2,0,2,0,0,0,0
237,SAS VoIPNovember12toNovember13 CPG,0,0,0,0,0,0,0
238,Landslide VoIPFebruary-May'12 CPG,0,0,0,0,0,0,0
239,Landslide VoIPDec11-March'12 CPG,2,0,0,0,0,0,0
240,CA VoIPJuly-September12 CPG,0,0,0,0,0,0,0
241,CA VoIPJuly-Sept'11 CPG,2,0,0,0,0,0,0
242,MessageLabs VoIPJuly-September12 CPG,0,0,0,0,0,0,0
243,Oracle VoIPLeads61809 CPG,0,0,0,0,0,0,0
244,Novell VoIPApril-June12 CPG,5,3,0,0,0,0,3
245,Quest VoIPLeads62909 CPG,0,0,0,0,0,0,0
246,Vision Web/E-Commerce21910 CPG,0,0,0,0,0,0,0
247,Zaner VOIP91509 CPG,10,0,0,0,0,0,0
248,Citrix VoIP51509 CPG,3,3,0,0,0,0,0
249,Riverbed VoIP72109 CPG,0,0,0,0,0,0,0
250,Sepaton VOIP2012 CPG,7,0,0,0,0,0,0
251,CrownPeak VoIP41409 CPG,4,4,0,0,0,0,0
252,HP VoIP12 CPG,0,0,0,0,0,0,0
253,IBM VOIP CPG,5,5,0,0,0,0,0
254,IBM VOIP CPG,1,1,0,0,0,0,0
255,Oce VOIP CPG,0,0,0,0,0,0,0
256,Absolute VOIP CPG,0,0,0,0,0,0,0
257,Fathom VOIP CPG,0,0,0,0,0,0,0
258,Fathom Voip CPG,0,0,0,0,0,0,0
259,HP VOIP CPG,0,0,0,0,0,0,0
260,Entrust Voice CPG,1,1,0,0,0,0,0
261,RJO VNX CPG,1,1,0,0,0,0,0
262,OpVest VNXe CPG,0,0,0,0,0,0,0
263,Click VoiceStar CPG,0,0,0,0,0,0,0
264,HP VMware30308 CPG,4,2,0,0,0,0,2
265,Zacks VMWare CPG,1,1,0,0,0,0,0
266,MessageLabs VMware200870208 CPG,13,5,8,0,0,0,0
267,Daniels VMITWPMar'13 CPG,10,1,0,0,0,0,0
268,Fiberlink Visual CPG,8,0,0,0,0,0,0
269,Nokia Visiting CPG,10,0,0,0,0,0,0
270,Motorola Visibility CPG,0,0,0,0,0,0,0
271,HP VirtualizationPANFeb-April'11 CPG,0,0,0,0,0,0,0
272,FireEye VirtualizationReport CPG,3,3,0,0,0,0,0
273,McAfee VirtualizationPANIDGAug-Sept'12 CPG,1,1,0,0,0,0,0
274,LogMeIn Virtualization2013 CPG,1,1,0,0,0,0,0
275,SkillSoft Virtualization_Standard_Q4_12 CPG,2,1,1,0,0,0,0
276,RJO Virtualization_HQL_Q4_12 CPG,3,1,0,0,0,0,0
277,newScale Virtualization/Automation CPG,7,3,0,0,0,0,0
278,MessageLabs Virtualization CPG,0,0,0,0,0,0,0
279,Fathom Virtualization CPG,2,0,0,0,0,0,0
280,SECNAP Virtualization CPG,1,1,0,0,0,0,0
281,Fathom Virtualization CPG,2,2,0,0,0,0,0
282,CA Virtualization CPG,0,0,0,0,0,0,0
283,IBM Virtual CPG,0,0,0,0,0,0,0
284,Juniper VIPRE40111 CPG,0,0,0,0,0,0,0
285,MX VipreITWPDropTabOct-Dec'11 CPG,10,0,0,0,0,0,0
286,Utimaco ViewpointJasonwinthorp20Leads@?75 CPG,0,0,0,0,0,0,0
287,CA VideoSolution CPG,7,7,0,0,0,0,0
288,CA VideoITwhitepapersDecember12toDecember13 CPG,0,0,0,0,0,0,0
289,thawte Video CPG,1,2,0,0,0,0,0
290,Oco video CPG,0,0,0,0,0,0,0
291,Utimaco Vertical CPG,13,12,0,0,1,0,0
292,Compendium Vertical CPG,5,0,0,0,0,0,0
293,Marketo VIPRE40111 CPG,16,9,5,0,0,0,2
294,AirDefense Vertical CPG,0,0,0,0,0,0,0
295,RJO Vertical CPG,0,0,0,0,0,0,0
296,Tidal versus CPG,2,1,1,0,0,0,0
297,ADC VaultGen CPG,0,0,0,0,0,0,0
298,Juniper Velocity13 CPG,6,0,0,0,0,0,0
299,HP Velocity13 CPG,0,0,0,0,0,0,0
300,GFI VDIPack CPG,7,6,1,0,0,0,0
301,"Redspin VanchTechnologyCO.,LTD CPG",3,3,0,0,0,0,0
302,SenSage VaultGen CPG,7,0,0,0,0,0,0
303,Proofpoint V7000 CPG,0,0,0,0,0,0,0
304,IBM Utilities CPG,5,5,0,0,0,0,0
305,HP UTM CPG,0,0,0,0,0,0,0
306,MGMA USUKQ1 CPG,0,0,0,0,0,0,0
307,IBM USLeads60909 CPG,0,0,0,0,0,0,0
308,CA USQ12013 CPG,0,0,0,0,0,0,0
309,Consona/M2M USTrial CPG,0,0,0,0,0,0,0
310,EqualLogic USATouch CPG,1,1,0,0,0,0,0
311,LeftHand USCPaper CPG,0,0,0,0,0,0,0
312,ExactTarget USASecurity CPG,0,0,0,0,0,0,0
313,Engine US82709 CPG,0,0,0,0,0,0,0
314,Lyris USASalesLeadsAsset CPG,0,0,0,0,0,0,0
315,HP USA CPG,1,1,0,0,0,0,0
316,MessageLabs US70910 CPG,4,3,1,0,0,0,0
317,YouSendIt US82709 CPG,1,1,0,0,0,0,0
318,YouSendIt US71510 CPG,0,0,0,0,0,0,0
319,Alcatel US22411 CPG,8,0,0,0,0,0,0
320,IBM US CPG,2,2,0,0,0,0,0
321,JBoss US CPG,8,0,0,0,0,0,0
322,CA US CPG,8,0,0,0,0,0,0
323,HP US CPG,5,5,0,0,0,0,0
324,Breakout US CPG,0,0,0,0,0,0,0
325,Marketo US CPG,0,0,0,0,0,0,0
326,Lumension US CPG,6,6,0,0,0,0,0
327,Log US CPG,0,0,0,0,0,0,0
328,Research US CPG,0,0,0,0,0,0,0
329,Dell US CPG,0,0,0,0,0,0,0
330,qaSignature US CPG,5,5,0,0,0,0,0
331,Tripwire URL CPG,0,0,0,0,0,0,0
332,Sophos US&CA CPG,5,0,0,0,0,0,0
333,Proofpoint US CPG,2,2,0,0,0,0,0
334,Sophos US CPG,0,0,0,0,0,0,0
335,IBM US CPG,3,3,0,0,0,0,0
336,IBM Upgrade121708 CPG,1,1,0,0,0,0,0
337,DeviceLock UniversityProgramforFinancialPlanning CPG,2,2,0,0,0,0,0
338,CA Unix CPG,2,2,0,0,0,0,0
339,OpVest US CPG,0,0,0,0,0,0,0
340,CertifiedMail Unix CPG,1,0,1,0,0,0,0
341,TARGUSinfo Unica CPG,0,0,0,0,0,0,0
342,HP University CPG,0,0,0,0,0,0,0
343,CA Unified CPG,1,1,0,0,0,0,0
344,ManageEngine University CPG,0,0,0,0,0,0,0
345,TriGeo Unified CPG,0,0,0,0,0,0,0
346,Amacai UnicaQ4 CPG,1,0,0,0,0,0,0
347,IBM US CPG,4,3,0,0,0,0,1
348,Exostar UNICA CPG,0,0,0,0,0,0,0
349,ExactTarget Undstructured CPG,0,0,0,0,0,0,0
350,MGTG Unfiltered CPG,8,8,0,0,0,0,0
351,NetApp UK-Tech80811 CPG,0,0,0,0,0,0,0
352,PacketMotion Ultimate CPG,0,0,0,0,0,0,0
353,CA UKNov-Jan12 CPG,0,0,0,0,0,0,0
354,VeriSign UKLMIQ42011 CPG,12,12,0,0,0,0,0
355,SAP UK-DummiesiXBRL CPG,3,3,0,0,0,0,0
356,Data UK80811 CPG,0,0,0,0,0,0,0
357,Fortify UK63009 CPG,0,0,0,0,0,0,0
358,Breakout UK52610 CPG,3,0,0,0,0,0,0
359,Adobe UK42109 CPG,3,2,0,0,1,0,0
360,Veracode UK31910 CPG,0,0,0,0,0,0,0
361,hp UK2012 CPG,0,0,0,0,0,0,0
362,Dell UK2012 CPG,2,2,0,0,0,0,0
363,LeadLife UK2013 CPG,0,0,0,0,0,0,0
364,Lyris UK_Q4 CPG,0,0,0,0,0,0,0
365,Vision UK CPG,6,3,1,0,2,0,0
366,Riverbed UK&Germany71510 CPG,0,0,0,0,0,0,0
367,Syberworks UK_DWA111109 CPG,0,0,0,0,0,0,0
368,Citrix UK2011 CPG,1,1,0,0,0,0,0
369,Citrix UK10511 CPG,0,0,0,0,0,0,0
370,Sterling UK CPG,4,4,0,0,0,0,0
371,Microsoft UK CPG,0,0,0,0,0,0,0
372,Microsoft UK CPG,0,0,0,0,0,0,0
373,Microsoft UK CPG,10,10,0,0,0,0,0
374,Quova UK CPG,0,0,0,0,0,0,0
375,CheckPoint UK CPG,4,4,0,0,0,0,0
376,CA UK CPG,0,0,0,0,0,0,0
377,HP UK CPG,4,4,0,0,0,0,0
378,GDCM UK CPG,0,0,0,0,0,0,0
379,CA UK CPG,2,2,0,0,0,0,0
380,igroup UK CPG,4,3,1,0,0,0,0
381,Oracle UK CPG,31,26,3,0,1,0,1
382,DCM UK CPG,2,2,0,0,0,0,0
383,Proofpoint UK CPG,10,1,0,0,0,0,0
384,SiteSpect UK CPG,0,0,0,0,0,0,0
385,Intermedia UK CPG,1,1,0,0,0,0,0
386,Fitiri UK CPG,27,16,0,0,0,0,11
387,Lyris UK CPG,0,0,0,0,0,0,0
388,Northern UK CPG,3,5,0,0,0,0,0
389,ActOn UK CPG,0,0,0,0,0,0,0
390,IBM UK CPG,12,12,0,0,0,0,0
391,IBM UK CPG,0,0,0,0,0,0,0
392,Sprint UK CPG,0,0,0,0,0,0,0
393,Sterling UK CPG,0,0,0,0,0,0,0
394,Juniper UK CPG,9,6,2,0,1,0,0
395,Trend UK CPG,2,2,0,0,0,0,0
396,YouSendIt UK CPG,5,5,0,0,0,0,0
397,YouSendIt UK CPG,5,5,0,0,0,0,0
398,Genius UK CPG,6,6,0,0,0,0,0
399,F5 UK CPG,22,19,1,0,2,0,0
400,HP UCS CPG,2,2,0,0,1,0,0
401,Proofpoint UK CPG,0,0,0,0,0,0,0
402,NTR UCC CPG,0,0,0,0,0,0,0
403,Lantronix TW CPG,0,0,0,0,0,0,0
404,NetCom U42108 CPG,6,3,0,0,3,0,0
405,Citrix TurnaroundMay-July2012 CPG,6,12,1,0,0,0,3
406,Oco TurnaroundMarch2012 CPG,0,0,0,0,0,0,0
407,Ensight TurnaroundITwhitepapersJune2012 CPG,6,6,0,0,0,0,0
408,CareerSaver TurnaroundContentReelNovember12-October13 CPG,4,1,0,0,0,0,3
409,VoIP TurnaroundContentReelNovember12-October13 CPG,9,8,0,0,1,0,0
410,LockLizard TurnaroundApril2012 CPG,7,6,0,0,0,0,1
411,Intermedia Turna CPG,4,4,0,0,0,0,0
412,LogLogic TSGUK500-999 CPG,1,1,0,0,0,0,0
413,PitneyBowes TSGUK1000+ CPG,0,0,0,0,0,0,0
414,CA TSGMolly CPG,12,12,0,0,0,0,0
415,RedBend TSGIT500-999 CPG,0,0,0,0,0,0,0
416,Vocus TSGFR500-999 CPG,0,0,0,0,0,0,0
417,Evergreen TSGCIBladesTechLeadership CPG,1,1,0,0,0,0,0
418,NetApp TSG1000+ CPG,0,0,0,0,0,0,0
419,NewField TSG1000+ CPG,0,0,0,0,0,0,0
420,Proofpoint TSG CPG,0,0,0,0,0,0,0
421,NetApp TSG1000+ CPG,0,0,0,0,0,0,0
422,AcquireWeb Troy CPG,0,0,0,0,0,0,0
423,Entrust UniversityCONV CPG,0,0,0,0,0,0,0
424,Vision Tridion CPG,0,0,0,0,0,0,0
425,Stratus TSPUK500-999 CPG,1,1,0,0,0,0,0
426,Neolane Tridion CPG,1,1,0,0,0,0,0
427,Qualys TSGES500-999 CPG,1,1,0,0,0,0,0
428,sophos TrustZonePaper CPG,0,0,0,0,0,0,0
429,IBM TrustSeal CPG,0,0,0,0,0,0,0
430,Entrust Trust CPG,0,0,0,0,0,0,0
431,NetApp Trials2012 CPG,1,1,0,0,0,0,0
432,ThePlanet Trial_Q1 CPG,0,0,0,0,0,0,0
433,HP -Trial41211 CPG,0,0,0,0,0,0,0
434,IAGGHR YourBusiness CPG,0,0,0,0,0,0,0
435,IBM Trial CPG,10,7,3,0,0,0,0
436,PhoneFactor trial CPG,4,4,0,0,0,0,0
437,NetApp Trial CPG,4,4,0,0,0,0,0
438,NetApp Trial CPG,0,0,0,0,0,0,0
439,ChoiceStream Trial CPG,0,0,0,0,0,0,0
440,NetApp Trial CPG,0,0,0,0,0,0,0
441,Test Trial CPG,1,1,0,0,0,0,0
442,Unitek Trial CPG,0,0,0,0,0,0,0
443,IBM TrendsOnlineCollaboration CPG,1,1,0,0,0,0,0
444,F5 Trend CPG,0,0,0,0,0,0,0
445,Melissa Tree13 CPG,4,4,0,0,0,0,0
446,Melissa Transition CPG,2,2,0,0,0,0,0
447,newScale Training CPG,5,5,0,0,0,0,0
448,Perforce Training CPG,0,0,0,0,0,0,0
449,Aldon TrainingFuturesTradersGuide CPG,10,10,0,0,0,0,0
450,IBM Transistor(hearst) CPG,5,3,2,0,0,0,0
451,Mimosa Tracking CPG,0,0,0,0,0,0,0
452,Information Trader CPG,0,0,0,0,0,0,0
453,Data toWebinarAttendanceandMaximizeConversion CPG,2,2,0,0,0,0,0
454,Sunbelt toWeb CPG,3,3,0,0,0,0,0
455,Dell toNewCustomers CPG,1,1,0,0,0,0,0
456,Vocus toResource CPG,0,0,0,0,0,0,0
457,LeftHand Tools CPG,0,0,0,0,0,0,0
458,Dell toLeveragingResearchandIndustryExperiencetoAchieveBest CPG,1,1,0,0,0,0,0
459,Burton Trial_Q1_2013 CPG,1,1,0,0,0,0,0
460,Legiant toEvolution:AudienceBasedMarketing-NowandMoving CPG,6,6,0,0,0,0,0
461,IBM TOAD CPG,0,0,0,0,0,0,0
462,BMC TLIDC113011 CPG,0,0,0,0,0,0,0
463,Verisign TL CPG,0,0,0,0,0,0,0
464,ThreatMetrix to CPG,13,11,2,0,0,0,0
465,LeapFrog toBusinessBenefitsfromCustomerFeedback CPG,0,0,0,0,0,0,0
466,ThreatMetrix To CPG,6,5,0,0,0,0,1
467,SAP TM CPG,0,0,0,0,0,0,0
468,Blue TL CPG,0,0,0,0,0,0,0
