id,name,num_assets,White_Paper,Webinar,Software_Download,Free_Offer,Live_Event,Case_Study
1,Citrix WP_Q1_13 CPG,8,3,2,0,3,0,0
2,Evergreen WP27 CPG,0,0,0,0,0,0,0
3,Stratus WP CPG,3,0,0,0,0,0,0
4,Oco WP_PAN CPG,0,0,0,0,0,0,0
5,DTI wp CPG,0,0,0,0,0,0,0
6,"APSFC yourlessthan$2,Unlimiteddomains CPG",0,0,0,0,0,0,0
7,Hubspot WP CPG,10,9,1,0,0,0,0
8,Info WP CPG,5,3,1,0,0,0,1
9,Cognos WP CPG,3,3,0,0,0,0,0
10,HP WP CPG,2,2,0,0,0,0,0
11,Aveksa WP CPG,0,0,0,0,0,0,0
12,mindSHIFT WP CPG,0,0,0,0,0,0,0
13,MTI WP CPG,0,0,0,0,0,0,0
14,Trade WPITHMay-August'11 CPG,3,2,0,0,0,0,0
15,HP WP CPG,6,5,0,0,0,0,1
16,APC WP CPG,6,6,0,0,0,0,0
17,Tideway WP CPG,2,1,1,0,0,0,0
18,Verint WP CPG,1,1,0,0,0,0,0
19,Paymetric WP CPG,0,0,0,0,0,0,0
20,WebEx wp CPG,0,0,0,0,0,0,0
21,HP World CPG,0,0,0,0,0,0,0
22,Opsware Workforce13 CPG,0,0,0,0,0,0,0
23,Pivotal WMI CPG,1,1,0,0,0,0,0
24,Vendor Word CPG,2,7,0,0,0,0,1
25,Vendor WOOD CPG,5,4,0,0,0,0,1
26,HP XenServer111710 CPG,0,0,0,0,0,0,0
27,Sophos Workflow CPG,3,2,0,0,0,0,1
28,Vision WizIQClassroom CPG,0,0,0,0,0,0,0
29,CA withStandard164 CPG,2,2,0,0,0,0,0
30,Vendor WirelessWeek42409 CPG,0,0,0,0,0,0,0
31,Brainloop WirelessWeek40709 CPG,0,0,0,0,0,0,0
32,Blue WirelessWeek121208 CPG,0,0,0,0,0,0,0
33,Solidcore WirelessWeek31309 CPG,0,0,0,0,0,0,0
34,Double-Take Wireless CPG,1,1,0,0,0,0,0
35,GlobalSCAPE Wireless CPG,0,0,0,0,0,0,0
36,Everest Winter CPG,0,0,0,0,0,0,0
37,Raritan WireGuide CPG,1,1,0,0,0,0,0
38,Astrocom Wireless CPG,18,15,0,0,0,0,3
39,qaSignature Winter CPG,0,0,0,0,0,0,0
40,mindSHIFT WinesHLOTD CPG,0,0,0,0,0,0,0
41,VeriSign WindsTrialNTA81310 CPG,5,0,0,0,0,0,0
42,uptime WindsTrialNPM81310 CPG,8,0,0,0,0,0,0
43,Vendor WindsTrialIPAM81310 CPG,0,0,0,0,0,0,0
44,netForensics WindsTrialCM81310 CPG,0,0,0,0,0,0,0
45,DataDirect WindsTrialAPM81310 CPG,0,0,0,0,0,0,0
46,Panda Winds-FreeQ22012 CPG,0,0,0,0,0,0,0
47,WebEx Winds CPG,0,0,0,0,0,0,0
48,Secure Winds CPG,0,0,0,0,0,0,0
49,SAP WindowsIDGLeads11609 CPG,0,0,0,0,0,0,0
50,Direct WindowsNov2012 CPG,0,0,0,0,0,0,0
51,SupplyChainConnect WindowsPhoneFY10 CPG,0,0,0,0,0,0,0
52,Elementool Windows8 CPG,0,0,0,0,0,0,0
53,Cognos Windowshade CPG,0,0,0,0,0,0,0
54,Fathom WindowsHubonlyNov12 CPG,9,0,0,0,0,0,0
55,Computhink Windows7 CPG,0,0,0,0,0,0,0
56,MARI Windows2012 CPG,1,1,0,0,0,0,0
57,SafeNet Windows2012 CPG,0,0,0,0,0,0,0
58,VMware Windows CPG,0,0,0,0,0,0,0
59,Accelerance WindowIFWITHFeb-May11 CPG,0,0,0,0,0,0,0
60,Aerohive WightForm) CPG,0,0,0,0,0,0,0
61,Motorola Win8 CPG,10,0,0,0,0,0,0
62,WatchGuard Window CPG,0,0,0,0,0,0,0
