Date,Open,High,Low,Close,Volume,stock_price
9/17/2012,31.19,31.61,30.91,31.19,53559000,29.41
9/24/2012,31,31.07,29.74,29.76,51424700,28.06
10/1/2012,29.81,30.25,29.42,29.85,45761200,28.15
10/8/2012,29.64,29.92,28.8,29.2,42010600,27.53
10/15/2012,29.37,29.74,28.5,28.64,56819000,27.01
10/22/2012,28.73,28.83,27.76,28.21,62596700,26.6
10/31/2012,28.55,29.77,28.5,29.5,66214500,27.82
11/5/2012,29.62,30.2,28.8,28.83,46495400,27.19
11/12/2012,28.94,29.01,26.34,26.52,76785300,25.21
11/19/2012,26.8,27.77,26.46,27.7,57113900,26.33
11/26/2012,27.54,27.58,26.49,26.62,67295400,25.31
12/3/2012,26.78,26.98,26.26,26.46,51315900,25.16
12/10/2012,26.56,27.62,26.52,26.81,46087500,25.49
12/17/2012,26.79,27.73,26.68,27.45,59487300,26.1
12/24/2012,27.2,27.25,26.55,26.55,30026800,25.24
12/31/2012,26.59,27.73,26.37,26.74,49116000,25.42
1/7/2013,26.77,26.98,26.28,26.83,51560900,25.51
1/14/2013,26.9,27.47,26.76,27.25,48299900,25.91
1/22/2013,27.3,28.23,27,27.88,73156300,26.51
1/28/2013,28.01,28.23,27.4,27.93,50995100,26.55
2/4/2013,27.87,28.02,27.1,27.55,39837300,26.19
2/11/2013,27.65,28.16,27.5,28.01,38453600,26.63
2/19/2013,27.88,28.2,27.23,27.76,40849000,26.61
2/25/2013,27.97,28.05,27.33,27.95,41003900,26.79
3/4/2013,27.85,28.54,27.7,28,39580500,26.84
3/11/2013,27.94,28.16,27.64,28.04,50720200,26.88
3/18/2013,27.88,28.49,27.81,28.25,39022500,27.08
3/25/2013,28.3,28.66,27.96,28.61,40869800,27.43
4/1/2013,28.64,28.95,28.11,28.7,37782100,27.51
4/8/2013,28.73,30.32,28.47,28.79,75483900,27.6
4/15/2013,28.65,30.24,28.5,29.77,63733600,28.54
4/22/2013,30.3,32.84,30.27,31.79,89295400,30.47
4/29/2013,31.8,33.52,31.77,33.49,56291300,32.1
5/6/2013,33.42,33.91,32.32,32.69,43693000,31.34
5/13/2013,32.61,34.87,32.55,34.87,51850200,33.66
5/20/2013,34.73,35.27,33.9,34.27,50609500,33.08
5/28/2013,34.42,35.28,34.41,34.9,48480200,33.69
6/3/2013,34.92,35.78,34.43,35.67,48236600,34.43
6/10/2013,35.51,35.65,34.25,34.4,42330100,33.21
6/17/2013,34.69,35.17,33.05,33.27,49787000,32.12
6/24/2013,32.94,34.79,32.57,34.54,48677300,33.34
7/1/2013,34.75,34.99,33.58,34.21,27691400,33.02
7/8/2013,34.35,35.77,33.98,35.67,35302700,34.43
7/15/2013,35.66,36.43,31.02,31.4,81156300,30.31
7/22/2013,31.7,32.19,31.21,31.62,59900100,30.52
7/29/2013,31.47,32.12,31.4,31.89,38065200,30.78
8/5/2013,31.9,33.07,31.25,32.7,38245800,31.57
8/12/2013,32.46,33.36,30.84,31.8,35936300,30.91
8/19/2013,31.76,35.2,31.37,34.75,68990900,33.78
8/26/2013,34.4,34.67,32.8,33.4,52728200,32.47
9/3/2013,31.75,32.07,30.95,31.15,110976800,30.28
9/9/2013,31.22,33.07,31.2,33.03,43871200,32.11
9/16/2013,33.38,33.68,32.69,32.79,69317500,31.88
9/23/2013,32.54,33.75,32.15,33.27,38654100,32.34
9/30/2013,33,34.03,32.7,33.88,39043300,32.94
10/7/2013,33.6,34.14,32.8,34.13,36974700,33.18
10/14/2013,33.9,34.99,33.78,34.96,36627600,33.99
10/21/2013,34.98,36.29,33.57,35.73,58635200,34.73
10/28/2013,35.61,35.79,35.26,35.53,37806000,34.54
11/4/2013,35.59,38.22,35.55,37.78,53173300,36.73
11/11/2013,37.69,38.16,36.9,37.84,40053300,36.78
11/18/2013,37.35,37.68,36.67,37.57,36165800,36.8
11/25/2013,37.93,38.29,37.35,38.13,28301100,37.35
12/2/2013,38.09,38.98,37.18,38.36,59961200,37.57
12/9/2013,38.56,38.9,36.62,36.69,36809300,35.94
12/16/2013,36.73,37.11,35.53,36.8,47484600,36.05
12/23/2013,36.81,37.62,36.55,37.29,17886800,36.53
12/30/2013,37.22,37.58,36.6,36.91,23890200,36.15
1/6/2014,36.85,36.89,35.4,36.04,43288600,35.3
1/13/2014,35.99,37,34.63,36.38,43324800,35.63
1/21/2014,36.82,37.55,35.52,36.81,43455200,36.05
1/27/2014,36.87,37.89,35.75,37.84,52314100,37.06
2/3/2014,37.74,37.99,35.69,36.56,48637500,35.81
2/10/2014,36.63,37.86,36.29,37.62,31000600,36.85
2/18/2014,37.63,38.35,37.21,37.98,32032900,37.48
2/24/2014,37.69,38.46,37.19,38.31,35796300,37.81
3/3/2014,37.92,38.48,37.49,37.9,25442700,37.4
3/10/2014,37.99,38.45,37.51,37.7,26816400,37.2
3/17/2014,37.9,40.94,37.79,40.16,52026400,39.63
3/24/2014,40.34,40.99,39.34,40.3,42022100,39.77
3/31/2014,40.43,41.66,39.64,39.87,37941400,39.34
4/7/2014,39.96,40.69,39,39.21,36233500,38.69
4/14/2014,39.11,40.42,38.9,40.01,33320100,39.48
4/21/2014,40.13,40.68,39.3,39.91,34627800,39.38
4/28/2014,40.14,41.29,39.66,39.69,37581800,39.17
5/5/2014,39.52,39.9,38.51,39.54,30617100,39.02
5/12/2014,39.74,40.5,39.27,39.83,27253200,39.58
5/19/2014,39.61,40.37,39.46,40.12,21295700,39.87
5/27/2014,40.26,40.97,39.81,40.94,26581900,40.69
6/2/2014,40.95,41.66,39.86,41.48,23141500,41.22
6/9/2014,41.39,41.57,40.29,41.23,20861100,40.97
6/16/2014,41.04,41.91,40.34,41.68,28282800,41.42
6/23/2014,41.73,42.29,41.43,42.25,32709300,41.99
6/30/2014,42.17,42.21,41.53,41.8,23474900,41.54
7/7/2014,41.75,42.12,41.05,42.09,23510800,41.83
7/14/2014,42.22,45.71,42.03,44.69,47907100,44.41
7/21/2014,44.56,45.45,44.22,44.5,38105200,44.22
7/28/2014,44.36,44.51,42.6,42.86,30415300,42.59
8/4/2014,42.97,43.47,42.21,43.2,28887000,42.93
8/11/2014,43.26,44.9,43,44.79,25119300,44.51
8/18/2014,44.94,45.47,44.68,45.15,24076200,45.15
8/25/2014,45.4,45.44,44.61,45.43,18374200,45.43
9/2/2014,45.43,45.93,44.53,45.91,29999800,45.91
9/8/2014,46.02,47.02,45.99,46.7,36147600,46.7
9/15/2014,46.54,47.57,46.1,47.52,68360100,47.52
9/22/2014,47.3,47.38,45.76,46.41,31736500,46.41
9/29/2014,45.98,46.56,45.61,46.09,30935700,46.09
10/6/2014,46.12,46.89,43.95,44.03,33111500,44.03
10/13/2014,43.82,44.56,42.1,43.63,45015800,43.63
10/20/2014,43.06,45.07,42.81,44.38,34828300,44.38
