TR_ID,brand,listPrice,shippingPeriod,date,category
1,Samsung,39900,4,10/16/2012 1:03,Mobiles
2,Samsung,16990,6,10/16/2012 1:03,Mobiles
3,Samsung,7090,5,10/16/2012 1:03,Mobiles
4,AirTyme,1549,3,10/16/2012 1:04,Mobiles
5,AirTyme,1549,3,10/16/2012 1:04,Mobiles
6,Arise,859,7,10/16/2012 1:04,Mobiles
7,Karbonn,8399,6,10/16/2012 1:04,Mobiles
8,Motorola,19999,4,10/16/2012 1:04,Mobiles
9,Samsung,34900,4,10/16/2012 1:04,Mobiles
10,Airtyme,2338,4,10/16/2012 1:04,Mobiles
11,HTC,8049,6,10/16/2012 1:04,Mobiles
12,HTC,8099,3,10/16/2012 1:04,Mobiles
13,HTC,10399,6,10/16/2012 1:04,Mobiles
14,Micromax,1584,4,10/16/2012 1:04,Mobiles
15,Micromax,1584,4,10/16/2012 1:04,Mobiles
16,Micromax,3449,7,10/16/2012 1:04,Mobiles
17,Motorola,13199,3,10/16/2012 1:04,Mobiles
18,Motorola,9729,6,10/16/2012 1:04,Mobiles
19,Nokia,1559,6,10/16/2012 1:04,Mobiles
20,Samsung,11400,3,10/16/2012 1:04,Mobiles
21,Samsung,29990,5,10/16/2012 1:04,Mobiles
22,Samsung,7090,4,10/16/2012 1:04,Mobiles
23,Samsung,7090,4,10/16/2012 1:04,Mobiles
24,Samsung,34900,4,10/16/2012 1:05,Mobiles
25,Samsung,39900,7,10/16/2012 1:05,Mobiles
26,Arise,859,4,10/16/2012 1:05,Mobiles
27,BlackBerry,14399,7,10/16/2012 1:05,Mobiles
28,Micromax,990,3,10/16/2012 1:05,Mobiles
29,Micromax,990,6,10/16/2012 1:05,Mobiles
30,Nokia,4589,6,10/16/2012 1:05,Mobiles
31,BlackBerry,10749,7,10/16/2012 1:05,Mobiles
32,IBall,2149,7,10/16/2012 1:05,Mobiles
33,IBall,2149,4,10/16/2012 1:05,Mobiles
34,Lava,1190,7,10/16/2012 1:05,Mobiles
35,Motorola,4599,7,10/16/2012 1:05,Mobiles
36,Samsung,990,6,10/16/2012 1:05,Mobiles
37,Samsung,949,3,10/16/2012 1:05,Mobiles
38,Samsung,999,7,10/16/2012 1:05,Mobiles
39,Samsung,8490,3,10/16/2012 1:05,Mobiles
40,Samsung,11900,5,10/16/2012 1:05,Mobiles
41,Spice,2769,5,10/16/2012 1:05,Mobiles
42,Spice,3999,4,10/16/2012 1:05,Mobiles
43,Karbonn,5260,7,10/16/2012 1:06,Mobiles
44,Micromax,1539,5,10/16/2012 1:06,Mobiles
45,Micromax,1539,6,10/16/2012 1:06,Mobiles
46,Motorola,14889,3,10/16/2012 1:06,Mobiles
47,Nokia,6410,3,10/16/2012 1:06,Mobiles
48,BlackBerry,8380,7,10/16/2012 1:06,Mobiles
49,HTC,10399,5,10/16/2012 1:06,Mobiles
50,Karbonn,6429,4,10/16/2012 1:06,Mobiles
51,Micromax,4500,5,10/16/2012 1:06,Mobiles
52,Micromax,5209,3,10/16/2012 1:06,Mobiles
53,Micromax,2429,5,10/16/2012 1:06,Mobiles
54,Micromax,2369,6,10/16/2012 1:06,Mobiles
55,Motorola,12990,3,10/16/2012 1:06,Mobiles
56,Motorola,6549,7,10/16/2012 1:06,Mobiles
57,Nokia,1215,3,10/16/2012 1:06,Mobiles
58,Nokia,3299,5,10/16/2012 1:06,Mobiles
59,Samsung,3890,6,10/16/2012 1:06,Mobiles
60,Samsung,3890,5,10/16/2012 1:06,Mobiles
61,Samsung,2150,5,10/16/2012 1:06,Mobiles
62,Samsung,11400,5,10/16/2012 1:06,Mobiles
63,LG,7129,7,10/16/2012 1:07,Mobiles
64,HTC,11999,3,10/16/2012 1:07,Mobiles
65,Micromax,6239,5,10/16/2012 1:07,Mobiles
66,Samsung,4990,3,10/16/2012 1:07,Mobiles
67,Sony,14900,3,10/16/2012 1:07,Mobiles
68,Apple,39019,6,10/16/2012 1:07,Mobiles
69,HTC,10299,7,10/16/2012 1:07,Mobiles
70,HTC,17899,3,10/16/2012 1:07,Mobiles
71,IBall,12559,7,10/16/2012 1:07,Mobiles
72,Micromax,3820,7,10/16/2012 1:07,Mobiles
73,Nokia,1059,4,10/16/2012 1:07,Mobiles
74,Samsung,3150,3,10/16/2012 1:07,Mobiles
75,Samsung,2490,5,10/16/2012 1:07,Mobiles
76,Samsung,29990,4,10/16/2012 1:07,Mobiles
77,Samsung,8490,5,10/16/2012 1:07,Mobiles
78,Samsung,11900,5,10/16/2012 1:07,Mobiles
79,Samsung,15500,5,10/16/2012 1:07,Mobiles
80,Sony Ericsson,15199,6,10/16/2012 1:07,Mobiles
81,HTC,34399,6,10/16/2012 1:08,Mobiles
82,Nokia,4069,5,10/16/2012 12:46,Mobiles
83,Nokia,1179,6,10/16/2012 12:46,Mobiles
84,Nokia,2258,6,10/16/2012 12:46,Mobiles
85,Nokia,3269,6,10/16/2012 12:46,Mobiles
86,Samsung,3669,6,10/16/2012 12:46,Mobiles
87,Samsung,34900,5,10/16/2012 12:46,Mobiles
88,Samsung,7890,3,10/16/2012 12:46,Mobiles
89,Samsung,3150,5,10/16/2012 12:46,Mobiles
90,Videocon,2449,3,10/16/2012 12:46,Mobiles
91,Micromax,5999,6,10/16/2012 12:47,Mobiles
92,Samsung,7089,7,10/16/2012 12:47,Mobiles
93,Micromax,3999,7,10/16/2012 12:47,Mobiles
94,Nokia,2594,5,10/16/2012 12:47,Mobiles
95,Nokia,999,3,10/16/2012 12:47,Mobiles
96,Samsung,4990,3,10/16/2012 12:47,Mobiles
97,Samsung,15499,7,10/16/2012 12:47,Mobiles
98,Samsung,11099,7,10/16/2012 12:47,Mobiles
99,Sony,17499,6,10/16/2012 12:47,Mobiles
100,Sony,28199,5,10/16/2012 12:47,Mobiles
101,Sony,14990,5,10/16/2012 12:47,Mobiles
102,Micromax,1999,3,10/16/2012 12:47,Mobiles
103,Zen,1999,4,10/16/2012 12:47,Mobiles
104,Fujifilm,3535,4,10/16/2012 12:48,Cameras
105,Fujifilm,10999,5,10/16/2012 12:48,Cameras
106,Nikon,4355,5,10/16/2012 12:48,Cameras
107,Nikon,5290,7,10/16/2012 12:48,Cameras
108,Samsung,25900,5,10/16/2012 12:48,Mobiles
109,Sony,5355,6,10/16/2012 12:48,Cameras
110,Sony,6365,5,10/16/2012 12:48,Cameras
111,Micromax,3999,7,10/16/2012 12:48,Mobiles
112,Samsung,4999,4,10/16/2012 12:48,Cameras
113,Canon,5995,4,10/16/2012 12:49,Cameras
114,Nikon,11590,3,10/16/2012 12:49,Cameras
115,Nikon,13530,5,10/16/2012 12:49,Cameras
116,Nikon,7710,5,10/16/2012 12:49,Cameras
117,Nikon,15470,6,10/16/2012 12:49,Cameras
118,Nikon,16440,6,10/16/2012 12:49,Cameras
119,Fujifilm,4499,6,10/16/2012 12:49,Cameras
120,Olympus,4399,5,10/16/2012 12:49,Cameras
121,Sony,6800,3,10/16/2012 12:49,Cameras
122,Sony,12700,4,10/16/2012 12:49,Cameras
123,Sony,16600,6,10/16/2012 12:49,Cameras
124,Sony,11920,6,10/16/2012 12:49,Cameras
125,Canon,5599,3,10/16/2012 12:49,Cameras
126,Canon,6300,4,10/16/2012 12:50,Cameras
127,Samsung,29990,4,10/16/2012 12:55,Mobiles
128,Karbonn,7790,5,10/16/2012 12:55,Mobiles
129,Samsung,19500,4,10/16/2012 12:55,Mobiles
130,Apple,44500,7,10/16/2012 12:56,Mobiles
131,HTC,18599,6,10/16/2012 12:56,Mobiles
132,LG,17999,6,10/16/2012 12:56,Mobiles
133,Motorola,22000,6,10/16/2012 12:56,Mobiles
134,Nokia,31131,4,10/16/2012 12:56,Mobiles
135,Nokia,9499,5,10/16/2012 12:56,Mobiles
136,Nokia,17731,7,10/16/2012 12:56,Mobiles
137,Samsung,11400,7,10/16/2012 12:56,Mobiles
138,Samsung,37500,5,10/16/2012 12:56,Mobiles
139,Sony Ericsson,11300,6,10/16/2012 12:56,Mobiles
140,Sony Ericsson,17299,5,10/16/2012 12:56,Mobiles
141,Sony,12100,3,10/16/2012 12:56,Mobiles
142,Sony,9949,5,10/16/2012 12:56,Mobiles
143,Acer,8499,5,10/16/2012 12:56,Mobiles
144,Blackberry,14100,7,10/16/2012 12:56,Mobiles
145,HTC,15299,6,10/16/2012 12:56,Mobiles
146,HTC,8549,6,10/16/2012 12:56,Mobiles
147,HTC,17599,4,10/16/2012 12:56,Mobiles
148,Huawei,7599,5,10/16/2012 12:56,Mobiles
149,IBall,7999,3,10/16/2012 12:56,Mobiles
150,LAVA,2074,6,10/16/2012 12:56,Mobiles
151,LG,15690,5,10/16/2012 12:56,Mobiles
152,Nokia,11899,4,10/16/2012 12:56,Mobiles
153,Samsung,37900,6,10/16/2012 12:56,Mobiles
154,Sony,30100,3,10/16/2012 12:56,Mobiles
155,Sony,19499,6,10/16/2012 12:56,Mobiles
156,BlackBerry,139990,3,10/16/2012 12:56,Mobiles
157,Apple,57500,3,10/16/2012 12:57,Mobiles
158,Blackberry,30549,6,10/16/2012 12:57,Mobiles
159,Micromax,3820,5,10/16/2012 12:57,Mobiles
160,Nokia,13499,4,10/16/2012 12:57,Mobiles
161,BlackBerry,10899,3,10/16/2012 12:57,Mobiles
162,HTC,13349,4,10/16/2012 12:57,Mobiles
163,LG,28099,7,10/16/2012 12:57,Mobiles
164,LG,27499,5,10/16/2012 12:57,Mobiles
165,LG,7099,6,10/16/2012 12:57,Mobiles
166,LG,12099,4,10/16/2012 12:57,Mobiles
167,Motorola,10899,6,10/16/2012 12:57,Mobiles
168,Nokia,7499,7,10/16/2012 12:57,Mobiles
169,Samsung,11400,5,10/16/2012 12:57,Mobiles
170,Samsung,38900,3,10/16/2012 12:57,Mobiles
171,Samsung,34900,7,10/16/2012 12:57,Mobiles
172,Samsung,15900,3,10/16/2012 12:57,Mobiles
173,Sony,17100,5,10/16/2012 12:57,Mobiles
174,Sony,9499,4,10/16/2012 12:57,Mobiles
175,Videocon,3899,7,10/16/2012 12:57,Mobiles
176,Sony,34599,4,10/16/2012 12:57,Mobiles
177,Nokia,31599,4,10/16/2012 12:58,Mobiles
178,Apple,50900,7,10/16/2012 12:58,Mobiles
179,Blackberry,21560,6,10/16/2012 12:58,Mobiles
180,Blackberry,20799,5,10/16/2012 12:58,Mobiles
181,HTC,23699,3,10/16/2012 12:58,Mobiles
182,Nokia,22699,7,10/16/2012 12:58,Mobiles
183,HTC,34799,7,10/16/2012 12:58,Mobiles
184,Huawei,12199,7,10/16/2012 12:58,Mobiles
185,Karbonn,9699,3,10/16/2012 12:58,Mobiles
186,Karbonn,4999,7,10/16/2012 12:58,Mobiles
187,Karbonn,6666,3,10/16/2012 12:58,Mobiles
188,Motorola,9869,6,10/16/2012 12:58,Mobiles
189,Samsung,6299,6,10/16/2012 12:58,Mobiles
190,Sony,21999,5,10/16/2012 12:58,Mobiles
191,Xolo,17500,5,10/16/2012 12:58,Mobiles
192,Sony,17999,3,10/16/2012 12:58,Mobiles
193,Micromax,6779,6,10/16/2012 12:59,Mobiles
194,Nokia,6327,3,10/16/2012 12:59,Mobiles
195,AirTyme,1549,4,10/17/2012 1:20,Mobiles
196,Nokia,1529,4,10/17/2012 1:20,Mobiles
197,Spice,3180,5,10/17/2012 1:21,Mobiles
198,Nokia,1239,5,10/17/2012 1:22,Mobiles
199,Samsung,39900,5,10/17/2012 3:00,Mobiles
200,AirTyme,1549,5,10/17/2012 3:00,Mobiles
201,AirTyme,1549,6,10/17/2012 3:00,Mobiles
202,Arise,859,4,10/17/2012 3:00,Mobiles
203,Karbonn,8399,5,10/17/2012 3:00,Mobiles
204,Samsung,16990,7,10/17/2012 3:00,Mobiles
205,HTC,8049,3,10/17/2012 3:00,Mobiles
206,HTC,8099,7,10/17/2012 3:00,Mobiles
207,HTC,10399,7,10/17/2012 3:00,Mobiles
208,Micromax,1584,6,10/17/2012 3:00,Mobiles
209,Samsung,34900,6,10/17/2012 3:01,Mobiles
210,Samsung,34900,7,10/17/2012 3:01,Mobiles
211,Motorola,19999,3,10/17/2012 3:01,Mobiles
212,Nokia,4589,4,10/17/2012 3:01,Mobiles
213,Micromax,1584,4,10/17/2012 3:01,Mobiles
214,Micromax,3449,6,10/17/2012 3:01,Mobiles
215,Motorola,13199,6,10/17/2012 3:01,Mobiles
216,Motorola,9729,3,10/17/2012 3:01,Mobiles
217,Nokia,1559,6,10/17/2012 3:01,Mobiles
218,Samsung,999,4,10/17/2012 3:01,Mobiles
219,Samsung,11400,6,10/17/2012 3:01,Mobiles
220,Samsung,29990,6,10/17/2012 3:01,Mobiles
221,Samsung,7090,5,10/17/2012 3:01,Mobiles
222,Samsung,7090,3,10/17/2012 3:01,Mobiles
223,Samsung,7090,4,10/17/2012 3:01,Mobiles
224,Samsung,8490,7,10/17/2012 3:01,Mobiles
225,Samsung,11900,4,10/17/2012 3:01,Mobiles
226,Spice,3999,7,10/17/2012 3:01,Mobiles
227,Samsung,39900,4,10/17/2012 3:02,Mobiles
228,Arise,859,4,10/17/2012 3:02,Mobiles
229,BlackBerry,14399,6,10/17/2012 3:02,Mobiles
230,Karbonn,5260,3,10/17/2012 3:02,Mobiles
